HARVARD UNIVERSITY,Former lecturer and assistant dean of Harvard College,CARLOS DIAZ-ROSILLO,https://www.documentcloud.org/documents/3534022-Diaz-Rosillo-Carlos.html
HOLTZMAN VOGEL JOSEFIAK TORCHINSKY,Former partner,SEAN CAIRNCROSS,https://www.documentcloud.org/documents/3533941-Cairncross-Sean.html
I360,Provided legal services for,ANNIE DONALDSON,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
INGRAHAM RADIO LLC,Former executive producer,JULIA HAHN,https://www.documentcloud.org/documents/3534111-Hahn-Julia.html
ISA INTERNATIONALE INC.,Former advisor,BORIS EPSHTEYN,https://www.documentcloud.org/documents/3534046-Epshteyn-Boris.html
IVANKA M. TRUMP BUSINESS TRUST,Owner,IVANKA TRUMP,https://www.documentcloud.org/documents/3534040-Kushner-Jared.html
JEB 2016 INC.,Former advisor,HELEN FERRE,https://www.documentcloud.org/documents/3534068-Ferre-Helen.html
JEB 2016 INC.,Official campaign committee,JEB BUSH,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=P60008059&tabIndex=1
JWH CONSULTING LLC,Former managing member,JOSEPH HAGIN,https://www.documentcloud.org/documents/3534458-Hagin-Joseph.html
KANSAS FOR HUELSKAMP,Consultant,KELLYANNE CONWAY,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
KING FOR CONGRESS,Consultant,KELLYANNE CONWAY,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
KING FOR CONGRESS,Official campaign committee,STEVE KING,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2IA05072&tabIndex=1
KIRK FOR SENATE,Provided legal services for,ANNIE DONALDSON,https://www.documentcloud.org/documents/3534049-Donaldson-Ann.html
KIRKLAND & ELLIS LLP,Former partner,JOHN EISENBERG,https://www.documentcloud.org/documents/3534047-Eisenberg-John.html
KS GLOBAL GROUP LLC,Managing member,KEITH SCHILLER,https://www.documentcloud.org/documents/3534267-Schiller-Keith.html
MATT BEVIN FOR KENTUCKY INC.,Former director of communications,JESSICA DITTO,https://www.documentcloud.org/documents/3534035-Ditto-Jessica.html
MATT BEVIN FOR KENTUCKY INC.,Provided legal services for,JUSTIN CLARK,https://www.documentcloud.org/documents/3534079-Clark-Justin.html
MATT BEVIN FOR KENTUCKY INC.,Official campaign committee,MATTHEW GRISWOLD BEVIN,http://www.mattbevin.com/
MCCONNELL SENATE COMMITTEE '14,Official campaign committee,MITCH MCCONNELL,http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2KY00012&tabIndex=3
MCCONNELL SENATE COMMITTEE '14,Provided legal services for,SEAN CAIRNCROSS,https://www.documentcloud.org/documents/3533941-Cairncross-Sean.html
MIKE PENCE FOR INDIANA,Consultant,KELLYANNE CONWAY,https://www.documentcloud.org/documents/3534450-Conway-Kellyanne.html
